MW,nAT,nSK,nBT,nBO,nBM,RBF,nDB,nTB,nAB,nP,nS,nF,nCL,nX,H%,C%,N%,O%,X%,nCar
187.86,8,4,7,3,0,0,0,0,0,0,0,0,0,2,50,25,0,0,25,0
88.07,10,6,10,6,1,0,1,0,0,0,0,0,0,0,40,30,0,30,0,0
98.96,8,4,7,3,0,0,0,0,0,0,0,0,2,2,50,25,0,0,25,0
118.2,22,8,21,7,0,0.238,0,0,0,0,0,0,0,0,63.6,27.3,0,9.1,0,0
90.14,16,6,15,5,0,0.2,0,0,0,0,0,0,0,0,62.5,25,0,12.5,0,0
90.14,16,6,15,5,0,0.2,0,0,0,0,0,0,0,0,62.5,25,0,12.5,0,0
44.06,7,3,7,3,0,0,0,0,0,0,0,0,0,0,57.1,28.6,0,14.3,0,0
60.12,12,4,11,3,0,0.091,0,0,0,0,0,0,0,0,66.7,16.7,16.7,0,0,0
46.03,5,3,4,2,1,0,1,0,0,0,0,0,0,0,40,20,0,40,0,0
75.08,10,5,9,4,1,0.111,1,0,0,0,0,0,0,0,50,20,10,20,0,0
58.04,6,4,5,3,2,0.2,2,0,0,0,0,0,0,0,33.3,33.3,0,33.3,0,0
110.12,14,8,14,8,6,0,0,0,6,0,0,0,0,0,42.9,42.9,0,14.3,0,6
33.04,5,2,4,1,0,0,0,0,0,0,0,0,0,0,60,0,20,20,0,0
68.09,9,5,9,5,5,0,0,0,5,0,0,0,0,0,44.4,33.3,22.2,0,0,3
116.18,20,8,19,7,1,0.158,1,0,0,0,0,0,0,0,60,30,0,10,0,0
86.2,20,6,19,5,0,0.105,0,0,0,0,0,0,0,0,70,30,0,0,0,0
60.11,12,4,11,3,0,0,0,0,0,0,0,0,0,0,66.7,25,0,8.3,0,0
102.15,17,7,16,6,1,0.125,1,0,0,0,0,0,0,0,58.8,29.4,0,11.8,0,0
59.13,13,4,12,3,0,0,0,0,0,0,0,0,0,0,69.2,23.1,7.7,0,0,0
90.09,12,6,11,5,1,0.091,1,0,0,0,0,0,0,0,50,25,0,25,0,0
126.15,15,9,15,9,6,0,0,0,6,0,0,0,0,0,40,20,40,0,0,3
86.1,12,6,11,5,2,0.091,2,0,0,0,0,0,0,0,50,33.3,0,16.7,0,0
96.12,9,5,8,4,2,0,2,0,0,0,1,0,0,0,44.4,11.1,0,33.3,0,0
32.05,6,2,5,1,0,0,0,0,0,0,0,0,0,0,66.7,16.7,0,16.7,0,0
86.1,12,6,11,5,2,0.182,2,0,0,0,0,0,0,0,50,33.3,0,16.7,0,0
